Rutas.Documentador,Rutas.UltimaActualizacion,Rutas.Destino,Rutas.Kms,Rutas.Origen,Rutas.Ruta
TS,26/06/2026 00:00,"Actopan, HGO","1,646.00",Puerto Manzanillo,"Puerto Manzanillo - Actopan, HGO"
TS,26/06/2026 00:00,"Aguascalientes, AGS","1,032.00",Puerto Manzanillo,"Puerto Manzanillo - Aguascalientes, AGS"
TS,26/06/2026 00:00,"Apaseo el Grande, GTO","1,246.00",Puerto Manzanillo,"Puerto Manzanillo - Apaseo el Grande, GTO"
TS,26/06/2026 00:00,"Apodaca, NL","2,253.00",Puerto Manzanillo,"Puerto Manzanillo - Apodaca, NL"
TS,26/06/2026 00:00,"Cd Juarez, CHIH","3,701.00",Puerto Manzanillo,"Puerto Manzanillo - Cd Juarez, CHIH"
TS,26/06/2026 00:00,"Cuautitlán Izcalli, EDOMEX","1,609.00",Puerto Manzanillo,"Puerto Manzanillo - Cuautitlán Izcalli, EDOMEX"
TS,26/06/2026 00:00,"Durango, DUR","1,861.00",Puerto Manzanillo,"Puerto Manzanillo - Durango, DUR"
TS,26/06/2026 00:00,"El Alto, JAL",770.00,Puerto Manzanillo,"Puerto Manzanillo - El Alto, JAL"
TS,26/06/2026 00:00,"El Carmen, NL","2,250.00",Puerto Manzanillo,"Puerto Manzanillo - El Carmen, NL"
TS,26/06/2026 00:00,"El Salto, JAL",643.00,Puerto Manzanillo,"Puerto Manzanillo - El Salto, JAL"
TS,26/06/2026 00:00,"Guadalajara, JAL",602.00,Puerto Manzanillo,"Puerto Manzanillo - Guadalajara, JAL"
TS,26/06/2026 00:00,"Guadalupe, NL","2,219.00",Puerto Manzanillo,"Puerto Manzanillo - Guadalupe, NL"
TS,26/06/2026 00:00,"Huejotzingo, PUE","1,884.00",Puerto Manzanillo,"Puerto Manzanillo - Huejotzingo, PUE"
TS,26/06/2026 00:00,"Ixtapaluca, EDOMEX","1,750.00",Puerto Manzanillo,"Puerto Manzanillo - Ixtapaluca, EDOMEX"
TS,26/06/2026 00:00,"Lerma, EDOMEX","1,564.00",Puerto Manzanillo,"Puerto Manzanillo - Lerma, EDOMEX"
TS,26/06/2026 00:00,"Marin, NL","2,291.00",Puerto Manzanillo,"Puerto Manzanillo - Marin, NL"
TS,26/06/2026 00:00,"Matitlan, JAL",462.00,Puerto Manzanillo,"Puerto Manzanillo - Matitlan, JAL"
TS,26/06/2026 00:00,"Monclova, COA","2,415.00",Puerto Manzanillo,"Puerto Manzanillo - Monclova, COA"
TS,26/06/2026 00:00,"Monterrey, NL","2,208.00",Puerto Manzanillo,"Puerto Manzanillo - Monterrey, NL"
TS,26/06/2026 00:00,"Naucalpan de Juárez, CDMX","1,651.00",Puerto Manzanillo,"Puerto Manzanillo - Naucalpan de Juárez, CDMX"
TS,26/06/2026 00:00,"Nuevo Laredo, TAM","2,624.00",Puerto Manzanillo,"Puerto Manzanillo - Nuevo Laredo, TAM"
TS,26/06/2026 00:00,"Puebla, PUE","1,917.00",Puerto Manzanillo,"Puerto Manzanillo - Puebla, PUE"
TS,26/06/2026 00:00,"Punta Mita, NAY",602.00,Puerto Manzanillo,"Puerto Manzanillo - Punta Mita, NAY"
TS,26/06/2026 00:00,"Querétaro, QRO","1,314.00",Puerto Manzanillo,"Puerto Manzanillo - Querétaro, QRO"
TS,26/06/2026 00:00,"Reynosa, TAM","2,578.00",Puerto Manzanillo,"Puerto Manzanillo - Reynosa, TAM"
TS,26/06/2026 00:00,"Saltillo, COA","2,026.00",Puerto Manzanillo,"Puerto Manzanillo - Saltillo, COA"
TS,26/06/2026 00:00,"San Luis Potosí, SLP","1,254.00",Puerto Manzanillo,"Puerto Manzanillo - San Luis Potosí, SLP"
TS,26/06/2026 00:00,"Teoloyucan, EDOMEX","1,606.00",Puerto Manzanillo,"Puerto Manzanillo - Teoloyucan, EDOMEX"
TS,26/06/2026 00:00,"Teopisca, CHIS","3,500.00",Puerto Manzanillo,"Puerto Manzanillo - Teopisca, CHIS"
TS,26/06/2026 00:00,"Tepotzotlán, EDOMEX","1,597.00",Puerto Manzanillo,"Puerto Manzanillo - Tepotzotlán, EDOMEX"
TS,26/06/2026 00:00,"Texcoco, EDOMEX","1,702.00",Puerto Manzanillo,"Puerto Manzanillo - Texcoco, EDOMEX"
TS,26/06/2026 00:00,"Tijuana, BC","4,979.00",Puerto Manzanillo,"Puerto Manzanillo - Tijuana, BC"
TS,26/06/2026 00:00,"Tlajomulco, JAL",556.00,Puerto Manzanillo,"Puerto Manzanillo - Tlajomulco, JAL"
TS,26/06/2026 00:00,"Tlanepantla, EDOMEX","1,637.00",Puerto Manzanillo,"Puerto Manzanillo - Tlanepantla, EDOMEX"
TS,26/06/2026 00:00,"Tlaquepaque, JAL",617.00,Puerto Manzanillo,"Puerto Manzanillo - Tlaquepaque, JAL"
TS,26/06/2026 00:00,"Torreon, COA","2,057.00",Puerto Manzanillo,"Puerto Manzanillo - Torreon, COA"
TS,26/06/2026 00:00,"Tultepec, EDOMEX","1,626.00",Puerto Manzanillo,"Puerto Manzanillo - Tultepec, EDOMEX"
TS,26/06/2026 00:00,"Zapopan, JAL",604.00,Puerto Manzanillo,"Puerto Manzanillo - Zapopan, JAL"
